DeviceType,SerialNo,EnergyUsage,Interval,LoggedAt
SmartSensor,DEVICE-1598,5244,5,02/10/2022 18:45:00
SmartSensor,DEVICE-1598,5406,5,02/10/2022 18:50:00
SmartSensor,DEVICE-1598,5156,5,02/10/2022 18:55:00
SmartSensor,DEVICE-1598,3008,5,02/10/2022 19:00:00
SmartSensor,DEVICE-1598,3119,5,02/10/2022 19:05:00
SmartSensor,DEVICE-1598,3178,5,02/10/2022 19:10:00
SmartSensor,DEVICE-1598,3443,5,02/10/2022 19:15:00
SmartSensor,DEVICE-1598,3005,5,02/10/2022 19:20:00
SmartSensor,DEVICE-1598,3013,5,02/10/2022 19:25:00
SmartSensor,DEVICE-1598,3122,5,02/10/2022 19:30:00
SmartSensor,DEVICE-1598,3441,5,02/10/2022 19:35:00
SmartSensor,DEVICE-1598,3084,5,02/10/2022 19:40:00
SmartSensor,DEVICE-1598,3114,5,02/10/2022 19:45:00
SmartSensor,DEVICE-1598,3035,5,02/10/2022 19:50:00
SmartSensor,DEVICE-1598,3341,5,02/10/2022 19:55:00
SmartSensor,DEVICE-1598,3044,5,02/10/2022 20:00:00
SmartSensor,DEVICE-1598,3380,5,02/10/2022 20:05:00
SmartSensor,DEVICE-1598,3373,5,02/10/2022 20:10:00
SmartSensor,DEVICE-1598,3406,5,02/10/2022 20:15:00
SmartSensor,DEVICE-1598,3296,5,02/10/2022 20:20:00
SmartSensor,DEVICE-1598,3113,5,02/10/2022 20:25:00
SmartSensor,DEVICE-1598,3166,5,02/10/2022 20:30:00
SmartSensor,DEVICE-1598,3069,5,02/10/2022 20:35:00
SmartSensor,DEVICE-1598,3408,5,02/10/2022 20:40:00
SmartSensor,DEVICE-1598,3057,5,02/10/2022 20:45:00
SmartSensor,DEVICE-1598,3390,5,02/10/2022 20:50:00
SmartSensor,DEVICE-1598,3393,5,02/10/2022 20:55:00
SmartSensor,DEVICE-1598,3117,5,02/10/2022 21:00:00
SmartSensor,DEVICE-1598,3481,5,02/10/2022 21:05:00
SmartSensor,DEVICE-1598,3267,5,02/10/2022 21:10:00
SmartSensor,DEVICE-1598,3050,5,02/10/2022 21:15:00
SmartSensor,DEVICE-1598,3479,5,02/10/2022 21:20:00
SmartSensor,DEVICE-1598,3010,5,02/10/2022 21:25:00
SmartSensor,DEVICE-1598,3232,5,02/10/2022 21:30:00
SmartSensor,DEVICE-1598,3318,5,02/10/2022 21:35:00
SmartSensor,DEVICE-1598,3240,5,02/10/2022 21:40:00
SmartSensor,DEVICE-1598,3297,5,02/10/2022 21:45:00
SmartSensor,DEVICE-1598,3170,5,02/10/2022 21:50:00
SmartSensor,DEVICE-1598,3443,5,02/10/2022 21:55:00
SmartSensor,DEVICE-1598,3421,5,02/10/2022 22:00:00
SmartSensor,DEVICE-1598,3422,5,02/10/2022 22:05:00
SmartSensor,DEVICE-1598,3034,5,02/10/2022 22:10:00
SmartSensor,DEVICE-1598,3184,5,02/10/2022 22:15:00
SmartSensor,DEVICE-1598,3244,5,02/10/2022 22:20:00
SmartSensor,DEVICE-1598,3107,5,02/10/2022 22:25:00
SmartSensor,DEVICE-1598,3015,5,02/10/2022 22:30:00
SmartSensor,DEVICE-1598,3155,5,02/10/2022 22:35:00
SmartSensor,DEVICE-1598,3096,5,02/10/2022 22:40:00
SmartSensor,DEVICE-1598,3442,5,02/10/2022 22:45:00
SmartSensor,DEVICE-1598,3323,5,02/10/2022 22:50:00
SmartSensor,DEVICE-1598,3445,5,02/10/2022 22:55:00
SmartSensor,DEVICE-1598,3238,5,02/10/2022 23:00:00
SmartSensor,DEVICE-1598,3010,5,02/10/2022 23:05:00
SmartSensor,DEVICE-1598,3320,5,02/10/2022 23:10:00
SmartSensor,DEVICE-1598,3388,5,02/10/2022 23:15:00
SmartSensor,DEVICE-1598,3398,5,02/10/2022 23:20:00
SmartSensor,DEVICE-1598,3226,5,02/10/2022 23:25:00
SmartSensor,DEVICE-1598,3275,5,02/10/2022 23:30:00
SmartSensor,DEVICE-1598,3359,5,02/10/2022 23:35:00
SmartSensor,DEVICE-1598,3139,5,02/10/2022 23:40:00
SmartSensor,DEVICE-1598,3074,5,02/10/2022 23:45:00
SmartSensor,DEVICE-1598,3095,5,02/10/2022 23:50:00
SmartSensor,DEVICE-1598,3460,5,02/10/2022 23:55:00
SmartSensor,DEVICE-1598,3386,5,02/11/2022 00:00:00
SmartSensor,DEVICE-1598,3322,5,02/11/2022 00:05:00
SmartSensor,DEVICE-1598,3164,5,02/11/2022 00:10:00
SmartSensor,DEVICE-1598,3465,5,02/11/2022 00:15:00
SmartSensor,DEVICE-1598,3197,5,02/11/2022 00:20:00
SmartSensor,DEVICE-1598,3028,5,02/11/2022 00:25:00
SmartSensor,DEVICE-1598,3211,5,02/11/2022 00:30:00
SmartSensor,DEVICE-1598,3478,5,02/11/2022 00:35:00
SmartSensor,DEVICE-1598,3139,5,02/11/2022 00:40:00
SmartSensor,DEVICE-1598,3157,5,02/11/2022 00:45:00
SmartSensor,DEVICE-1598,3351,5,02/11/2022 00:50:00
SmartSensor,DEVICE-1598,3462,5,02/11/2022 00:55:00
SmartSensor,DEVICE-1598,3227,5,02/11/2022 01:00:00
SmartSensor,DEVICE-1598,3434,5,02/11/2022 01:05:00
SmartSensor,DEVICE-1598,3098,5,02/11/2022 01:10:00
SmartSensor,DEVICE-1598,3143,5,02/11/2022 01:15:00
SmartSensor,DEVICE-1598,3368,5,02/11/2022 01:20:00
SmartSensor,DEVICE-1598,3479,5,02/11/2022 01:25:00
SmartSensor,DEVICE-1598,3395,5,02/11/2022 01:30:00
SmartSensor,DEVICE-1598,3139,5,02/11/2022 01:35:00
SmartSensor,DEVICE-1598,3021,5,02/11/2022 01:40:00
SmartSensor,DEVICE-1598,3280,5,02/11/2022 01:45:00
SmartSensor,DEVICE-1598,3254,5,02/11/2022 01:50:00
SmartSensor,DEVICE-1598,3344,5,02/11/2022 01:55:00
SmartSensor,DEVICE-1598,3090,5,02/11/2022 02:00:00
SmartSensor,DEVICE-1598,3486,5,02/11/2022 02:05:00
SmartSensor,DEVICE-1598,3477,5,02/11/2022 02:10:00
SmartSensor,DEVICE-1598,3182,5,02/11/2022 02:15:00
SmartSensor,DEVICE-1598,3126,5,02/11/2022 02:20:00
SmartSensor,DEVICE-1598,3307,5,02/11/2022 02:25:00
SmartSensor,DEVICE-1598,3117,5,02/11/2022 02:30:00
SmartSensor,DEVICE-1598,3158,5,02/11/2022 02:35:00
SmartSensor,DEVICE-1598,3314,5,02/11/2022 02:40:00
SmartSensor,DEVICE-1598,3047,5,02/11/2022 02:45:00
SmartSensor,DEVICE-1598,3484,5,02/11/2022 02:50:00
SmartSensor,DEVICE-1598,3009,5,02/11/2022 02:55:00
SmartSensor,DEVICE-1598,3183,5,02/11/2022 03:00:00
SmartSensor,DEVICE-1598,3330,5,02/11/2022 03:05:00
SmartSensor,DEVICE-1598,3175,5,02/11/2022 03:10:00
SmartSensor,DEVICE-1598,3251,5,02/11/2022 03:15:00
SmartSensor,DEVICE-1598,3227,5,02/11/2022 03:20:00
SmartSensor,DEVICE-1598,3236,5,02/11/2022 03:25:00
SmartSensor,DEVICE-1598,3456,5,02/11/2022 03:30:00
SmartSensor,DEVICE-1598,3093,5,02/11/2022 03:35:00
SmartSensor,DEVICE-1598,3230,5,02/11/2022 03:40:00
SmartSensor,DEVICE-1598,3045,5,02/11/2022 03:45:00
SmartSensor,DEVICE-1598,3068,5,02/11/2022 03:50:00
SmartSensor,DEVICE-1598,3459,5,02/11/2022 03:55:00
SmartSensor,DEVICE-1598,3466,5,02/11/2022 04:00:00
SmartSensor,DEVICE-1598,3270,5,02/11/2022 04:05:00
SmartSensor,DEVICE-1598,3415,5,02/11/2022 04:10:00
SmartSensor,DEVICE-1598,3235,5,02/11/2022 04:15:00
SmartSensor,DEVICE-1598,3439,5,02/11/2022 04:20:00
SmartSensor,DEVICE-1598,3234,5,02/11/2022 04:25:00
SmartSensor,DEVICE-1598,3200,5,02/11/2022 04:30:00
SmartSensor,DEVICE-1598,3111,5,02/11/2022 04:35:00
SmartSensor,DEVICE-1598,3390,5,02/11/2022 04:40:00
SmartSensor,DEVICE-1598,3067,5,02/11/2022 04:45:00
SmartSensor,DEVICE-1598,3048,5,02/11/2022 04:50:00
SmartSensor,DEVICE-1598,3264,5,02/11/2022 04:55:00
SmartSensor,DEVICE-1598,3376,5,02/11/2022 05:00:00
SmartSensor,DEVICE-1598,3095,5,02/11/2022 05:05:00
SmartSensor,DEVICE-1598,3022,5,02/11/2022 05:10:00
SmartSensor,DEVICE-1598,3041,5,02/11/2022 05:15:00
SmartSensor,DEVICE-1598,3228,5,02/11/2022 05:20:00
SmartSensor,DEVICE-1598,3216,5,02/11/2022 05:25:00
SmartSensor,DEVICE-1598,3416,5,02/11/2022 05:30:00
SmartSensor,DEVICE-1598,3214,5,02/11/2022 05:35:00
SmartSensor,DEVICE-1598,3325,5,02/11/2022 05:40:00
SmartSensor,DEVICE-1598,3346,5,02/11/2022 05:45:00
SmartSensor,DEVICE-1598,3076,5,02/11/2022 05:50:00
SmartSensor,DEVICE-1598,3240,5,02/11/2022 05:55:00
SmartSensor,DEVICE-1598,3446,5,02/11/2022 06:00:00
SmartSensor,DEVICE-1598,3117,5,02/11/2022 06:05:00
SmartSensor,DEVICE-1598,3054,5,02/11/2022 06:10:00
SmartSensor,DEVICE-1598,3329,5,02/11/2022 06:15:00
SmartSensor,DEVICE-1598,3162,5,02/11/2022 06:20:00
SmartSensor,DEVICE-1598,3024,5,02/11/2022 06:25:00
SmartSensor,DEVICE-1598,3230,5,02/11/2022 06:30:00
SmartSensor,DEVICE-1598,3045,5,02/11/2022 06:35:00
SmartSensor,DEVICE-1598,3007,5,02/11/2022 06:40:00
SmartSensor,DEVICE-1598,3382,5,02/11/2022 06:45:00
SmartSensor,DEVICE-1598,3292,5,02/11/2022 06:50:00
SmartSensor,DEVICE-1598,3127,5,02/11/2022 06:55:00
SmartSensor,DEVICE-1598,3074,5,02/11/2022 07:00:00
SmartSensor,DEVICE-1598,3295,5,02/11/2022 07:05:00
SmartSensor,DEVICE-1598,3014,5,02/11/2022 07:10:00
SmartSensor,DEVICE-1598,3073,5,02/11/2022 07:15:00
SmartSensor,DEVICE-1598,3250,5,02/11/2022 07:20:00
SmartSensor,DEVICE-1598,3027,5,02/11/2022 07:25:00
SmartSensor,DEVICE-1598,3430,5,02/11/2022 07:30:00
SmartSensor,DEVICE-1598,3412,5,02/11/2022 07:35:00
SmartSensor,DEVICE-1598,3344,5,02/11/2022 07:40:00
SmartSensor,DEVICE-1598,3243,5,02/11/2022 07:45:00
SmartSensor,DEVICE-1598,3283,5,02/11/2022 07:50:00
SmartSensor,DEVICE-1598,3104,5,02/11/2022 07:55:00
SmartSensor,DEVICE-1598,3050,5,02/11/2022 08:00:00
SmartSensor,DEVICE-1598,3154,5,02/11/2022 08:05:00
SmartSensor,DEVICE-1598,3392,5,02/11/2022 08:10:00
SmartSensor,DEVICE-1598,3351,5,02/11/2022 08:15:00
SmartSensor,DEVICE-1598,3251,5,02/11/2022 08:20:00
SmartSensor,DEVICE-1598,3294,5,02/11/2022 08:25:00
SmartSensor,DEVICE-1598,3186,5,02/11/2022 08:30:00
SmartSensor,DEVICE-1598,3092,5,02/11/2022 08:35:00
SmartSensor,DEVICE-1598,3449,5,02/11/2022 08:40:00
SmartSensor,DEVICE-1598,3178,5,02/11/2022 08:45:00
SmartSensor,DEVICE-1598,3275,5,02/11/2022 08:50:00
SmartSensor,DEVICE-1598,3126,5,02/11/2022 08:55:00
SmartSensor,DEVICE-1598,5036,5,02/11/2022 09:00:00
SmartSensor,DEVICE-1598,5364,5,02/11/2022 09:05:00
SmartSensor,DEVICE-1598,5397,5,02/11/2022 09:10:00
SmartSensor,DEVICE-1598,5416,5,02/11/2022 09:15:00
SmartSensor,DEVICE-1598,5450,5,02/11/2022 09:20:00
SmartSensor,DEVICE-1598,5356,5,02/11/2022 09:25:00
SmartSensor,DEVICE-1598,5381,5,02/11/2022 09:30:00
SmartSensor,DEVICE-1598,5188,5,02/11/2022 09:35:00
SmartSensor,DEVICE-1598,5060,5,02/11/2022 09:40:00
SmartSensor,DEVICE-1598,5054,5,02/11/2022 09:45:00
SmartSensor,DEVICE-1598,5326,5,02/11/2022 09:50:00
SmartSensor,DEVICE-1598,5081,5,02/11/2022 09:55:00
SmartSensor,DEVICE-1598,5384,5,02/11/2022 10:00:00
